                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                 1.3034,                 1.4014,                 1.2484,                0.69708,                0.62363,                0.69639,                0.48949,                 1.1275,                 1.1096,                 1.1738,              0.0005419,              0.0005419,              0.0005419
                     99,                 1.3164,                 1.3788,                 1.2196,                0.66922,                0.61161,                0.69574,                 0.4741,                 1.1468,                 1.1989,                 1.1898,             0.00054061,             0.00054061,             0.00054061
                    100,                 1.2758,                 1.3505,                 1.2095,                0.70926,                0.66606,                0.71106,                0.50327,                 1.1034,                 1.1055,                 1.1727,             0.00053932,             0.00053932,             0.00053932
                    101,                 1.2765,                 1.3435,                 1.2248,                0.69905,                0.64089,                0.70323,                0.49664,                 1.1152,                  1.146,                 1.1756,             0.00053803,             0.00053803,             0.00053803
                    102,                 1.3322,                 1.3859,                 1.2265,                0.67864,                0.64898,                0.69932,                0.48118,                 1.1724,                 1.1222,                 1.2004,             0.00053674,             0.00053674,             0.00053674
                    103,                  1.292,                 1.3322,                 1.2364,                0.70121,                0.63939,                0.70454,                0.49569,                 1.1258,                 1.1253,                 1.1686,             0.00053545,             0.00053545,             0.00053545
                    104,                 1.2988,                 1.3255,                 1.2034,                0.70599,                0.64526,                0.70636,                0.49962,                 1.1098,                 1.1087,                 1.1676,             0.00053416,             0.00053416,             0.00053416
                    105,                 1.2873,                 1.2989,                 1.1736,                0.70319,                0.67216,                0.72421,                0.51409,                 1.0889,                 1.0867,                 1.1564,             0.00053287,             0.00053287,             0.00053287
                    106,                 1.3041,                 1.3568,                 1.2023,                0.73921,                0.66356,                0.72339,                0.50605,                 1.1219,                 1.0834,                   1.17,             0.00053158,             0.00053158,             0.00053158
                    107,                 1.2675,                 1.2828,                 1.1621,                0.69038,                 0.6448,                0.71085,                0.50215,                 1.0972,                 1.1141,                  1.159,             0.00053029,             0.00053029,             0.00053029
                    108,                 1.2777,                 1.3174,                  1.196,                0.72273,                0.64127,                 0.7167,                0.50807,                 1.0875,                 1.0801,                 1.1548,               0.000529,               0.000529,               0.000529
                    109,                 1.3055,                 1.3595,                 1.2329,                0.67052,                0.65337,                0.69839,                0.49276,                 1.0908,                 1.0862,                 1.1561,             0.00052771,             0.00052771,             0.00052771
                    110,                 1.2655,                 1.2649,                 1.1804,                0.60482,                0.65414,                0.68722,                0.47781,                 1.1157,                 1.1046,                 1.1516,             0.00052642,             0.00052642,             0.00052642
                    111,                 1.2415,                 1.2745,                 1.2026,                 0.6329,                 0.6585,                0.69283,                0.48386,                 1.1231,                 1.1365,                 1.1615,             0.00052513,             0.00052513,             0.00052513
                    112,                 1.2466,                 1.2637,                 1.1851,                0.72321,                0.64718,                0.71791,                  0.498,                 1.1104,                 1.0593,                 1.1627,             0.00052384,             0.00052384,             0.00052384
                    113,                 1.2563,                 1.2817,                  1.183,                 0.7071,                0.66506,                0.72284,                0.50845,                 1.0695,                 1.0727,                 1.1502,             0.00052255,             0.00052255,             0.00052255
                    114,                 1.2301,                  1.262,                 1.1719,                0.72906,                0.68108,                  0.729,                0.51564,                 1.0733,                 1.0493,                 1.1397,             0.00052126,             0.00052126,             0.00052126
                    115,                 1.2409,                 1.2534,                  1.172,                0.71398,                0.68057,                0.72699,                0.51371,                 1.0796,                 1.0161,                 1.1452,             0.00051997,             0.00051997,             0.00051997
                    116,                   1.25,                 1.2358,                 1.1671,                0.70294,                0.67983,                0.72114,                0.50548,                 1.1052,                 1.0454,                 1.1684,             0.00051868,             0.00051868,             0.00051868
                    117,                 1.1794,                 1.1885,                 1.1602,                0.71091,                0.69064,                0.73455,                0.51071,                 1.1022,                 1.0349,                 1.1484,             0.00051739,             0.00051739,             0.00051739
                    118,                 1.2408,                 1.2149,                 1.1636,                0.73904,                0.67836,                0.73998,                0.51319,                 1.1029,                0.99797,                 1.1483,              0.0005161,              0.0005161,              0.0005161
                    119,                 1.2556,                 1.2297,                 1.1646,                0.75887,                0.69616,                0.74755,                0.52262,                 1.1053,                 1.0212,                 1.1492,             0.00051481,             0.00051481,             0.00051481
                    120,                 1.1781,                 1.1917,                 1.1366,                0.78155,                0.66994,                0.75211,                0.53931,                 1.0716,                 1.0047,                 1.1327,             0.00051352,             0.00051352,             0.00051352
                    121,                 1.2299,                 1.2318,                 1.1757,                0.70662,                0.70216,                0.76155,                0.54252,                 1.0426,                 1.0118,                 1.1155,             0.00051224,             0.00051224,             0.00051224
                    122,                 1.1888,                  1.181,                 1.1393,                0.74387,                0.66471,                0.75086,                  0.537,                 1.0576,                 1.0067,                 1.1233,             0.00051095,             0.00051095,             0.00051095
                    123,                 1.2484,                 1.2833,                 1.1823,                0.75442,                 0.6912,                0.76065,                0.54187,                 1.0561,                 1.0079,                 1.1184,             0.00050966,             0.00050966,             0.00050966
                    124,                 1.2354,                 1.2124,                 1.1621,                  0.774,                0.68196,                0.74718,                0.51711,                 1.1313,                 1.0162,                 1.1497,             0.00050837,             0.00050837,             0.00050837
                    125,                 1.2294,                 1.1953,                 1.1897,                0.72175,                0.68778,                0.74326,                0.53132,                  1.064,                0.99599,                 1.1244,             0.00050708,             0.00050708,             0.00050708
                    126,                 1.2248,                 1.2042,                 1.1839,                0.73593,                0.66106,                0.73275,                0.51528,                 1.0793,                   1.01,                  1.133,             0.00050579,             0.00050579,             0.00050579
                    127,                 1.2173,                 1.1859,                 1.1806,                0.72722,                0.69332,                0.73931,                0.52839,                 1.0763,                 1.0034,                 1.1275,              0.0005045,              0.0005045,              0.0005045
                    128,                 1.1861,                 1.1484,                 1.1685,                0.71445,                0.68121,                0.73457,                0.52646,                 1.0653,                0.98337,                 1.1312,             0.00050321,             0.00050321,             0.00050321
                    129,                 1.2013,                 1.1599,                 1.1392,                0.72823,                0.69225,                0.75276,                0.53946,                 1.0473,                0.96403,                 1.1159,             0.00050192,             0.00050192,             0.00050192
                    130,                  1.176,                 1.1648,                 1.1477,                0.72486,                0.72434,                0.75352,                0.53814,                 1.0559,                0.96588,                  1.115,             0.00050063,             0.00050063,             0.00050063
                    131,                 1.1752,                 1.1365,                 1.1203,                0.73787,                 0.7032,                0.75195,                0.52577,                 1.0874,                0.96362,                 1.1405,             0.00049934,             0.00049934,             0.00049934
                    132,                   1.23,                 1.1445,                 1.1519,                0.74658,                0.69537,                 0.7714,                0.55309,                 1.0299,                 0.9396,                 1.1053,             0.00049805,             0.00049805,             0.00049805
                    133,                 1.1788,                 1.1499,                 1.1703,                0.75813,                0.69902,                0.77068,                0.55541,                 1.0371,                0.95738,                 1.1094,             0.00049676,             0.00049676,             0.00049676
                    134,                 1.2485,                 1.1856,                 1.1622,                0.78121,                0.72672,                0.77817,                0.56008,                 1.0385,                0.92046,                 1.1081,             0.00049547,             0.00049547,             0.00049547
                    135,                 1.1645,                 1.1317,                 1.1528,                0.75956,                0.69936,                0.77375,                0.55621,                 1.0431,                 0.9668,                 1.1179,             0.00049418,             0.00049418,             0.00049418
                    136,                 1.2345,                 1.1652,                 1.1756,                0.79952,                0.68844,                0.77363,                0.54776,                 1.0674,                0.94175,                 1.1256,             0.00049289,             0.00049289,             0.00049289
                    137,                 1.2144,                 1.1591,                  1.164,                0.82998,                0.69872,                0.78599,                0.56553,                 1.0262,                0.91791,                 1.1047,              0.0004916,              0.0004916,              0.0004916
                    138,                 1.2243,                 1.1849,                 1.1423,                0.78452,                0.72403,                0.79498,                0.56586,                 1.0328,                 0.9345,                 1.1087,             0.00049031,             0.00049031,             0.00049031
                    139,                 1.1679,                 1.1212,                 1.1005,                 0.7915,                0.70083,                0.79009,                0.57097,                 1.0108,                0.92055,                 1.0991,             0.00048902,             0.00048902,             0.00048902
                    140,                 1.1448,                 1.1168,                 1.1573,                0.77248,                0.71142,                0.79089,                0.57341,                 1.0088,                0.90576,                 1.0982,             0.00048773,             0.00048773,             0.00048773
                    141,                 1.1551,                 1.1097,                 1.1431,                0.83617,                0.71061,                0.80682,                0.58174,                 1.0198,                0.89025,                 1.1063,             0.00048644,             0.00048644,             0.00048644
                    142,                 1.1907,                 1.1676,                 1.1297,                0.79519,                0.74485,                0.80234,                0.57873,                  1.027,                0.91871,                  1.107,             0.00048515,             0.00048515,             0.00048515
                    143,                 1.1655,                 1.1455,                 1.1385,                0.82637,                0.72356,                0.80452,                0.57866,                 1.0297,                0.89022,                 1.1071,             0.00048386,             0.00048386,             0.00048386
